Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "ChronoCape_RevA.brd" as of: 3/13/16 4:37 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,2.905,1.860,0
C2,Top,1.875,1.685,90
C3,Top,2.620,0.920,0
C4,Top,2.050,0.945,0
C5,Top,2.615,0.850,0
C6,Top,1.700,1.575,0
C7,Top,2.010,1.220,90
C8,Top,1.965,0.880,0
C9,Top,1.415,1.510,90
C10,Top,0.555,0.595,0
C11,Top,1.485,1.500,90
C12,Top,1.795,1.470,0
C13,Top,1.845,0.880,180
C14,Top,1.380,1.005,90
C15,Top,2.765,0.660,90
C16,Top,2.615,0.710,180
C17,Top,2.145,0.325,90
C18,Top,2.325,0.325,90
C19,Top,2.495,0.710,180
C20,Top,0.905,1.120,90
C21,Top,0.930,1.250,180
D1,Top,1.000,1.585,180
D2,Top,1.000,1.650,180
D3,Top,1.000,1.710,180
D4,Top,0.875,0.875,90
D5,Top,1.075,0.875,90
D6,Top,0.975,0.875,90
J2,Top,3.300,1.430,270
J3,Top,1.050,0.525,180
J5,Top,0.233,0.484,0
J6,Top,3.260,0.669,180
L1,Top,2.965,1.770,180
L2,Top,2.070,1.220,270
L3,Top,2.085,0.325,270
L4,Top,0.925,1.020,0
R1,Top,2.845,1.770,180
R2,Top,1.875,1.565,270
R3,Top,1.815,1.565,90
R4,Top,1.815,1.685,270
R5,Top,1.090,1.825,270
R6,Top,1.700,1.825,270
R7,Top,1.400,1.825,270
R8,Top,2.850,0.325,90
R9,Top,1.210,1.825,270
R10,Top,1.400,0.325,90
R11,Top,2.000,0.325,90
R12,Top,1.900,0.325,90
R13,Top,0.875,1.585,180
R14,Top,0.875,1.650,180
R15,Top,0.875,1.710,180
R16,Top,1.500,0.325,90
R17,Top,1.150,1.825,270
R18,Top,1.710,0.325,90
R19,Top,1.650,0.325,90
R20,Top,2.425,0.490,0
R21,Top,2.425,0.550,0
R22,Top,2.265,0.325,90
R23,Top,2.205,0.325,270
R24,Top,2.445,0.325,90
R25,Top,2.385,0.325,270
R26,Top,2.610,0.340,180
R27,Top,2.610,0.280,180
R28,Top,1.050,1.020,180
SJ1,Top,1.745,0.800,0
U1,Top,1.700,1.675,180
U2,Top,2.725,1.325,90
U3,Top,1.675,1.175,180
U4,Top,0.525,0.500,0
U5,Top,2.600,0.525,270
U6,Top,1.005,1.135,90
Y1,Top,2.050,1.050,90
